cutoff	SLX-16110-16111.i701_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i701_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i503.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i507.bowtie2.sorted.uniq.bam	SLX-16110-16111.i704_i508.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i502.bowtie2.sorted.uniq.bam	SLX-16110-16111.i705_i503.bowtie2.sorted.uniq.bam
1.5	0.743788688711231	0.756373209659682	0.716308108515563	0.725832156228669	0.741702079664834	0.744978118451332	0.740774086575537	0.753287741427161	0.706576701411024	0.705603751332353
1.55	0.753339006646203	0.765624199180892	0.716308108515563	0.742496420384882	0.754913130300101	0.744978118451332	0.740774086575537	0.769896762022498	0.71996172412767	0.714168326464025
1.6	0.762186421528595	0.765624199180892	0.716308108515563	0.742496420384882	0.754913130300101	0.757930506121641	0.740774086575537	0.769896762022498	0.71996172412767	0.72219577296865
1.65	0.762186421528595	0.774253825876881	0.7299190031325	0.756845492482652	0.766734842250135	0.757930506121641	0.759392498652443	0.769896762022498	0.731883136467407	0.72219577296865
1.7	0.770202382661118	0.782225834482629	0.7299190031325	0.756845492482652	0.766734842250135	0.76945067368914	0.759392498652443	0.78441827519581	0.731883136467407	0.729705192444099
1.75	0.777646162902832	0.789462909553451	0.74174108341753	0.756845492482652	0.777213065722888	0.76945067368914	0.775034355690421	0.78441827519581	0.731883136467407	0.736582805807411
1.8	0.777646162902832	0.789462909553451	0.74174108341753	0.769189503375371	0.777213065722888	0.779784525282569	0.775034355690421	0.797261837228808	0.742480565253865	0.742958171722396
1.85	0.784640088086181	0.796193430138288	0.752341191437942	0.769189503375371	0.786755325878903	0.779784525282569	0.775034355690421	0.797261837228808	0.742480565253865	0.742958171722396
1.9	0.791112065590388	0.802604496701207	0.752341191437942	0.779946226421368	0.786755325878903	0.789130743600369	0.788614737284509	0.808394579574634	0.751883134408014	0.748978912320413
1.95	0.791112065590388	0.802604496701207	0.752341191437942	0.779946226421368	0.795435911662707	0.789130743600369	0.788614737284509	0.808394579574634	0.751883134408014	0.754726555435847
2	0.797043420820914	0.808348116939391	0.761952034419001	0.779946226421368	0.795435911662707	0.7974738494185	0.788614737284509	0.808394579574634	0.760567696304657	0.754726555435847
2.05	0.802902611048513	0.813860082050469	0.761952034419001	0.789601432924982	0.80316921667338	0.7974738494185	0.800246219131811	0.818311658615449	0.760567696304657	0.760288096389431
2.1	0.808326639794071	0.813860082050469	0.770812889329331	0.789601432924982	0.80316921667338	0.805306238813077	0.800246219131811	0.818311658615449	0.76859520896709	0.765418536425882
2.15	0.808326639794071	0.81906009171854	0.770812889329331	0.798499378170075	0.810413162608053	0.805306238813077	0.810658935039266	0.827066988226676	0.76859520896709	0.770363843222112
2.2	0.813190720232064	0.823948000340129	0.778790747680593	0.798499378170075	0.810413162608053	0.812444708309698	0.810658935039266	0.827066988226676	0.776226185569197	0.770363843222112
2.25	0.817855677377126	0.823948000340129	0.778790747680593	0.798499378170075	0.816971870413771	0.812444708309698	0.810658935039266	0.834803629349673	0.776226185569197	0.775067819323522
2.3	0.817855677377126	0.828590348702847	0.778790747680593	0.806536434290587	0.816971870413771	0.818810294271805	0.820029655655066	0.834803629349673	0.783164897322285	0.779528250052096
2.35	0.82241169938738	0.832786058409124	0.786132724029978	0.806536434290587	0.823186604929459	0.818810294271805	0.820029655655066	0.834803629349673	0.783164897322285	0.779528250052096
2.4	0.826601322957498	0.832786058409124	0.786132724029978	0.813651754416009	0.823186604929459	0.824754316303248	0.820029655655066	0.841800609936185	0.789630360637757	0.783719112941173
2.45	0.826601322957498	0.836947114488593	0.793253634278293	0.813651754416009	0.829099250416812	0.830331245597483	0.828648933492691	0.841800609936185	0.789630360637757	0.787791006095693
2.5	0.830708720405926	0.84078376602803	0.793253634278293	0.813651754416009	0.829099250416812	0.830331245597483	0.828648933492691	0.848357885034336	0.795731929266864	0.791894527620599
2.55	0.834333980357367	0.844493742545102	0.799793179868739	0.820358710492974	0.834375700086245	0.835430768190782	0.836499346122826	0.848357885034336	0.795731929266864	0.791894527620599
2.6	0.834333980357367	0.844493742545102	0.799793179868739	0.820358710492974	0.834375700086245	0.835430768190782	0.836499346122826	0.848357885034336	0.801052885101025	0.795615255892549
2.65	0.83799506947275	0.847913968148948	0.799793179868739	0.826729189648906	0.839447661697433	0.840252938358399	0.836499346122826	0.854475691108491	0.801052885101025	0.799394465505801
2.7	0.841404341090457	0.851254111842105	0.805601409290632	0.826729189648906	0.839447661697433	0.840252938358399	0.843588934666694	0.854475691108491	0.806608096852414	0.802949231344089
2.75	0.841404341090457	0.851254111842105	0.805601409290632	0.826729189648906	0.84427412156225	0.844770912382693	0.843588934666694	0.859707701668043	0.806608096852414	0.802949231344089
2.8	0.844850744750793	0.854637499767034	0.811346822745328	0.832376281061857	0.84427412156225	0.844770912382693	0.843588934666694	0.859707701668043	0.811648563403707	0.806185429591821
2.85	0.848218469014759	0.857766372819442	0.811346822745328	0.832376281061857	0.848846567405803	0.849265569601155	0.850087366782075	0.86495153544589	0.811648563403707	0.809406055884769
2.9	0.851493037452479	0.857766372819442	0.816830253276285	0.837806832890281	0.848846567405803	0.849265569601155	0.850087366782075	0.86495153544589	0.81661911357355	0.809406055884769
2.95	0.851493037452479	0.860608552631579	0.816830253276285	0.837806832890281	0.85316171039461	0.853233345383615	0.855916375555742	0.86495153544589	0.81661911357355	0.812452345492815
3	0.854564573961203	0.863485968484419	0.822095499172558	0.837806832890281	0.85739279466884	0.853233345383615	0.855916375555742	0.869763585291633	0.821202806828658	0.815553309964328
3.05	0.857534703078652	0.863485968484419	0.822095499172558	0.8430067938981	0.85739279466884	0.85713293420448	0.855916375555742	0.869763585291633	0.821202806828658	0.818467549395798
3.1	0.857534703078652	0.866271508545176	0.822095499172558	0.8430067938981	0.861317727238081	0.85713293420448	0.861489408637183	0.874307011617731	0.825660362282182	0.818467549395798
3.15	0.860367016583692	0.869148414785858	0.827096456971985	0.847890225721816	0.861317727238081	0.860851083006849	0.861489408637183	0.874307011617731	0.825660362282182	0.821363932985781
3.2	0.863064554526596	0.869148414785858	0.827096456971985	0.847890225721816	0.865100369394038	0.860851083006849	0.861489408637183	0.878508037542029	0.829701508536028	0.824127297477558
3.25	0.863064554526596	0.871634157293685	0.831717868019158	0.847890225721816	0.865100369394038	0.864226337605795	0.866719353879828	0.878508037542029	0.829701508536028	0.824127297477558
3.3	0.865582367592601	0.87407811160448	0.831717868019158	0.852469925022855	0.868570088717251	0.864226337605795	0.866719353879828	0.878508037542029	0.833728033101854	0.827028802510448
3.35	0.868159461638945	0.876405583136089	0.836139996851134	0.852469925022855	0.868570088717251	0.867627260285112	0.871376503254108	0.882662716450613	0.833728033101854	0.829533603344108
3.4	0.868159461638945	0.876405583136089	0.836139996851134	0.85696155318349	0.871952267031611	0.867627260285112	0.871376503254108	0.882662716450613	0.837775048624835	0.832185541848313
3.45	0.870782373585843	0.878855507189317	0.836139996851134	0.85696155318349	0.871952267031611	0.870740739652188	0.871376503254108	0.886441180553076	0.837775048624835	0.832185541848313
3.5	0.87310670916657	0.881119932416691	0.840247815329816	0.85696155318349	0.875183836118589	0.870740739652188	0.875892396932259	0.886441180553076	0.837775048624835	0.834587083319578
3.55	0.875284398512663	0.881119932416691	0.840247815329816	0.861011821982381	0.875183836118589	0.873819733659377	0.875892396932259	0.890179682177704	0.841717138090826	0.837153133842058
3.6	0.875284398512663	0.883378023892947	0.844285326028701	0.861011821982381	0.87834411490333	0.873819733659377	0.875892396932259	0.890179682177704	0.841717138090826	0.839513980604819
3.65	0.877506530498472	0.885562076002683	0.844285326028701	0.865130339642213	0.87834411490333	0.876690639869975	0.880169469310123	0.890179682177704	0.845133670545155	0.839513980604819
3.7	0.879784179592852	0.885562076002683	0.848205964451004	0.865130339642213	0.881417046140012	0.876690639869975	0.880169469310123	0.893687276349047	0.845133670545155	0.841784510029827
3.75	0.879784179592852	0.887455649181825	0.848205964451004	0.865130339642213	0.881417046140012	0.879520006897072	0.880169469310123	0.893687276349047	0.848599628423779	0.844079193286923
